"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"M. Watters","England 3.","Barnsley","CF","26","400000","2026-06-30","30","1533","5","6.45","0","1.11","England","right","181","2.64","2.23","65.79","4.17","16.9","0.06","1.76","1.88","0.29","0.38","0","1.94","57.58","15.152","0.94","18.75","1","58.82","4.76","25.93","3.82","1.12","0.47","14.85","69.17","2.11","47.22","0.65","18.18","0.07","0","0.23","0.94","31.25","1","41.18","0.53","1.35","47.83"
"D. Ball","England 3.","Leyton Orient","LDMF, RDMF","30","400000","2027-06-30","33","1521","0","0.32","1","0.45","England","right","185","9.17","4.91","54.22","5.27","60.67","0.47","9.26","1.24","0","0.02","0","0.47","0","0","0.36","16.67","1.95","54.55","5.92","40","0.53","0.59","0","40.77","83.16","14.91","71.43","2.72","43.48","0.03","0.18","0.06","6.63","77.68","0.95","62.5","0.53","7.81","69.7"
"G. Maris","England 3.","Mansfield Town","LCMF, RCMF, DMF","29","300000","2026-06-30","27","1509","4","3.39","1","1.37","England","right","180","6.2","4.23","61.97","3.16","52.83","0.24","4.65","1.67","0.24","0.2","0.06","1.91","31.25","12.5","1.01","47.06","1.31","36.36","5.25","32.95","1.97","1.13","0.18","35.43","84.51","8.53","71.33","2.45","65.85","0.08","0.12","0.3","4.53","73.68","1.37","65.22","0.95","5.19","74.71"
"E. King","England 3.","Stevenage","LDMF, RDMF, DMF","23","0","2027-06-30","28","1509","1","0.94","1","1.49","Wales","right","188","8.47","5.79","64.95","4.23","45.07","0.3","6.34","1.01","0.06","0.06","0","0.83","42.86","7.143","0.6","50","0.78","46.15","3.4","22.81","0.36","0.6","0.06","34.47","80.8","12.52","65.24","4.71","56.96","0.09","0","0.06","7.93","72.18","2.39","45","0.66","7.22","76.03"
"N. Ennis","England 3.","Blackpool","CF","26","700000","2027-06-30","19","1504","7","6.74","0","0.46","England","right","180","4.13","3.11","67.31","6.4","18.69","0","1.64","2.15","0.42","0.4","0.06","1.97","42.42","21.212","0.48","0","2.45","53.66","9.99","26.35","2.99","0.84","0.12","11.19","70.05","1.86","58.06","0.78","61.54","0.03","0.12","0.06","0.78","76.92","0.66","45.45","0.6","1.08","50"
"T. Eaves","England 3.","Northampton Town","CF","33","300000","2026-06-30","23","1486","5","2.83","1","0.43","England","right","191","3.88","3.33","61.82","11.87","41.33","0.18","2.28","1.64","0.3","0.17","0.12","1.57","53.85","19.231","1.03","23.53","0.91","60","11.51","20","3.03","0.48","0.06","11.14","63.04","1.76","34.48","0.24","25","0.03","0","0.12","0.97","18.75","0.61","40","0.3","0.67","36.36"
"G. O''Donkor","England 3.","Bristol Rovers","CF","21","0","2026-06-30","28","1483","4","4.26","2","0.94","England","left","178","5.1","4.61","69.74","10.32","24.71","0.12","2.57","2.18","0.24","0.26","0.18","1.03","64.71","23.529","1.15","10.53","2.67","47.73","15.6","31.91","2.25","1.03","0.06","12.87","62.74","3.46","50.88","0.61","40","0.06","0.12","0.24","1.64","59.26","1.21","30","0.42","2.06","58.82"
"S. Chouchane","England 3.","Northampton Town","LDMF, RDMF, RCMF","22","250000","2027-06-30","22","1473","0","0.29","2","2.74","France","right","180","9.53","8.92","58.22","2.69","36.36","0.24","5.72","1.53","0","0.02","0","0.37","33.33","0","2.2","41.67","1.16","31.58","4.83","29.11","0.61","0.43","0.12","39.84","77.76","13.93","60.96","4.77","48.72","0.17","0.18","0.43","5.56","57.14","3.48","43.86","0.79","6.23","71.57"
"F. Draper","England 3.","Lincoln City","CF","21","275000","2028-06-30","38","1471","4","4.53","0","1.76","England","right","181","4.53","4.41","51.39","11.75","22.4","0","2.58","1.77","0.18","0.28","0","1.96","37.5","12.5","0.49","12.5","2.32","36.84","9.91","26.54","2.57","0.49","0.06","14.62","66.11","4.28","42.86","1.16","36.84","0.11","0.12","0.31","2.02","54.55","0.8","53.85","0.49","2.51","58.54"
"M. Leaburn","England 3.","Charlton Athletic","CF","22","0","2028-06-30","27","1470","6","4.99","2","0.97","England","right","195","4.53","2.57","64.29","18.24","45.97","0.12","3.85","2.39","0.37","0.31","0.06","2.02","42.42","18.182","0.67","36.36","2.02","60.61","11.2","26.23","3","0.86","0.18","16.35","59.55","6.06","47.47","0.55","22.22","0.06","0.06","0.37","2.27","56.76","1.29","57.14","0.73","2.82","56.52"
