"Player","League","Team ","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"O. Afolayan","League Two 20-21.","Bolton Wanderers","LAMF, AMF","28","3000000","2026-06-30","21","1498","1","3.06","2","1.45","England","right","180","10.45","8.47","60.28","4.15","40.58","0.18","9.46","8.47","0.06","0.18","0","2.64","27.27","2.273","2.16","25","12.44","54.11","22.23","44.32","2.94","4.03","1.62","31.9","77.21","6.91","53.04","2.88","52.08","0.09","1.08","0.6","3.3","65.45","2.58","48.84","1.5","5.11","64.71"
"Z. Jules","League Two 20-21.","Walsall","LB, LCB","28","300000","2026-06-30","17","1496","1","1","1","0.3","England","left","190","11.19","6.38","63.21","5.66","69.15","0.42","10","1.99","0.06","0.06","0","0.54","22.22","11.111","1.02","29.41","2.17","72.22","5.41","46.67","1.02","1.32","0.36","33.21","75.72","16.06","67.04","4.39","42.47","0.02","0.3","0.12","6.08","63.37","1.14","15.79","0.06","8","57.89"
"R. Towell","League Two 20-21.","Salford City","AMF, RCMF, RW","34","125000","","24","1490","3","2.45","2","1.44","Republic of Ireland","right","179","6.22","5.5","62.64","3.87","37.5","0.12","4.03","2.66","0.12","0.15","0","1.75","27.59","10.345","2.11","31.43","1.99","48.48","6.22","38.83","2.11","1.21","0.79","37.45","76.13","10.33","57.89","4.11","39.71","0.09","0.85","0.6","5.01","54.22","2.78","39.13","0.97","4.65","75.32"
"C. Brown","League Two 20-21.","Barrow","LWB, RWB, RB","33","0","","19","1475","1","0.82","1","0.85","England","right","175","10.56","8.42","62.32","2.99","55.1","0.18","7.36","2.01","0.06","0.05","0","0.49","12.5","12.5","1.53","20","2.81","56.52","6.47","53.77","1.1","2.5","1.4","28.68","75.53","11.04","61.33","3.91","42.19","0.05","0.18","0.24","4.52","56.76","1.53","56","0.79","7.14","72.65"
"Sido Jombati","League Two 20-21.","Oldham Athletic","RCB, RB, CB","38","0","","19","1475","0","0.04","1","0.29","Portugal","right","193","11.35","8.48","73.38","7.75","67.72","0.61","6.35","0.55","0","0","0","0.06","0","0","0.49","37.5","0.43","71.43","2.44","37.5","0.43","0.73","0.49","37.46","79.15","18.79","66.56","7.2","41.53","0.02","0.12","0.18","4.76","55.13","0.79","30.77","0.24","6.89","62.83"
"J. Murphy","League Two 20-21.","Tranmere Rovers","GK","44","25000","2026-06-30","15","1458","0","0","0","0","Republic of Ireland","left","188","1.73","0.12","50","0.31","100","0","2.68","0.06","0","0","0","0","0","0","0","0","0.06","100","0.06","100","0","0","0","22.65","89.37","14.38","84.55","11.3","79.23","0","0","0","4.38","77.46","0.12","0","0","9.51","88.31"
"L. John-Lewis","League Two 20-21.","Grimsby Town","CF, RWF","36","0","2026-06-30","20","1455","4","6.37","1","1.04","England","left","180","4.64","3.53","66.67","13.73","32.88","0.12","3.06","1.86","0.19","0.39","0.12","2.35","42.11","10.526","0.74","16.67","1.86","33.33","11.69","21.69","3.46","0.31","0.06","18.68","64.24","5.07","47.56","0.68","54.55","0.06","0.62","0.37","1.98","46.88","0.99","25","0.56","1.67","62.96"
"M. Hippolyte","League Two 20-21.","Scunthorpe United","LW, LB, LCMF","30","175000","2026-06-30","26","1453","1","2.14","0","0.68","England","left","183","10.59","6.19","51","3.41","40","0.31","10.06","3.04","0.06","0.13","0","0.87","50","7.143","1.49","20.83","3.59","60.34","7.8","42.86","1.3","1.18","0.81","28.31","68.93","9.42","50","3.16","29.41","0.04","0.31","0.19","3.96","51.56","1.86","30","0.37","6.13","54.55"
"J. Turley","League Two 20-21.","Leyton Orient","RCB, LCB","35","0","","18","1452","1","0.98","1","0","England","right","185","10.72","5.89","74.74","8.93","63.89","0.62","8.65","0.12","0.06","0.06","0.06","0.31","40","20","0.19","0","0.12","0","0.93","46.67","0.99","0.19","0.06","42.77","75.07","21.82","59.66","11.65","46.28","0","0","0","8.68","40.71","0.74","8.33","0.12","9.55","59.74"
"L. Kitching","League Two 20-21.","Forest Green Rovers","LCB","26","3800000","2027-06-30","15","1449","0","0.18","1","1.56","England","left","191","9.63","6.58","69.81","4.35","58.57","0.56","7.21","0.87","0","0.01","0","0.19","0","0","1.06","35.29","0.87","42.86","2.73","40.91","0.75","2.17","0.93","49.5","78.54","22.67","68.49","11.06","50.56","0.1","0.19","0.5","10.99","64.97","2.17","45.71","0.87","13.73","73.76"
"J. Rose","League Two 20-21.","Walsall","GK","30","125000","","15","1441","0","0","0","0","England","right","190","1.31","0.06","0","0.25","100","0","1.94","0","0","0","0","0","0","0","0","0","0","0","0.12","100","0","0","0","16.43","76.43","12.43","69.85","10.62","65.88","0","0","0","5.12","56.1","0.56","0","0","7.87","84.13"
"L. Novak","League Two 20-21.","Bradford City","CF","37","0","","17","1434","6","6.87","0","0.5","England","right","183","2.01","1.57","44","6.65","38.68","0.13","1.82","1.51","0.38","0.43","0.13","2.01","46.88","18.75","1.13","27.78","0.82","30.77","4.83","27.27","4.02","0.31","0.19","21.15","75.37","4.64","58.11","1.76","46.43","0.03","0.31","0.25","2.51","55","1.26","50","0.5","2.51","85"
"E. Francis","League Two 20-21.","Harrogate Town","LB, LCMF, DMF","26","0","2026-06-30","20","1431","1","1.01","0","0.88","England","left","182","13.14","8.74","60.43","4.53","55.56","0.25","10.17","1.01","0.06","0.06","0","0.57","33.33","11.111","0.75","50","0.44","71.43","1.26","50","0.57","0.31","0.31","35.28","68.63","18.49","57.82","8.05","47.66","0.06","0.38","0.25","9.43","60","1.64","46.15","0.5","11.01","70.29"
"N. Canavan","League Two 20-21.","Bradford City","LCB","34","100000","2026-06-30","16","1431","0","0.62","1","0.16","England","left","193","10.63","4.34","72.46","6.67","66.98","1.13","9.97","0.25","0","0.04","0","0.19","33.33","0","0.06","100","0.13","100","0.5","62.5","0.5","0.25","0","35.35","79","17.8","67.14","7.23","49.57","0.01","0.06","0.06","4.72","50.67","0.57","22.22","0","7.3","62.07"
"H. Darling","League Two 20-21.","Cambridge United","RCB, LCB","26","2000000","2028-06-30","16","1424","0","1.64","1","0.1","England","right","180","11.63","6.64","69.52","5.94","60.64","0.95","8.84","0.51","0","0.1","0","0.51","37.5","0","0.13","0","0.44","71.43","1.52","58.33","0.63","0.76","0.25","31.73","72.71","15.48","55.92","8.22","50.77","0.01","0","0.06","6.07","48.96","0.57","0","0.13","8.91","54.61"
"C. Carter","League Two 20-21.","Stevenage","RW, CF, RCMF","29","0","2026-06-30","18","1421","3","2.02","0","0.85","England","right","185","9.18","7.16","61.06","8.17","41.86","0.13","5.63","2.28","0.19","0.13","0.06","1.46","26.09","13.043","1.2","5.26","3.48","41.82","7.6","33.33","2.09","1.01","0.57","26.35","70.43","9.94","53.5","2.66","33.33","0.05","0.7","0.44","4.37","47.83","1.84","41.38","0.76","4.69","71.62"
"O. Zanzala","League Two 20-21.","Carlisle United","CF","29","100000","","22","1411","6","8.77","0","0.1","Congo","right","185","3.76","3.7","55.17","11.74","20.65","0.19","2.48","2.87","0.32","0.56","0.06","1.85","55.17","20.69","0.38","16.67","3.38","50.94","14.1","29.41","3.19","1.02","0.83","10.27","68.94","1.85","37.93","0.45","14.29","0.01","0.32","0","0.64","60","0.32","0","0.38","0.7","27.27"
"James Jones","League Two 20-21.","Barrow","RCB","28","0","2026-06-30","18","1404","1","0.95","0","0.01","Wales","","183","9.62","6.79","68.87","7.05","60","0.32","6.62","0.77","0.06","0.06","0","0.51","12.5","12.5","0.51","25","0.83","69.23","1.73","51.85","0.83","0.64","0.06","33.65","72.76","19.1","63.09","9.68","55.63","0","0","0","7.5","56.41","1.35","33.33","0.32","10.38","61.73"
"J. McAtee","League Two 20-21.","Scunthorpe United","AMF, CF","26","300000","2027-06-30","30","1404","1","2.5","2","0.68","England","right","180","7.05","5.51","61.63","2.56","20","0.13","4.24","2.95","0.06","0.16","0","1.35","57.14","4.762","1.86","20.69","2.82","59.09","6.79","42.45","1.79","1.6","0.64","30.38","69.62","9.04","43.97","2.56","42.5","0.04","0.77","0.32","3.53","38.18","1.47","39.13","0.51","3.53","52.73"
"S. George","League Two 20-21.","Colchester United","GK","28","300000","2026-06-30","15","1399","0","0","0","0","England","right","191","1.54","0.06","100","0.45","100","0","2","0","0","0","0","0","0","0","0","0","0","0","0.06","100","0","0","0","17.56","84.98","11.07","76.74","7.72","70","0","0","0","2.64","60.98","0.13","0","0","5.98","80.65"
"K. Guthrie","League Two 20-21.","Port Vale","CF","32","150000","2026-05-31","25","1367","1","2.65","0","0.4","England","right","191","5.33","4.67","56.34","18.04","35.77","0.2","4.1","2.5","0.07","0.17","0","1.78","44.44","3.704","0.66","30","3.16","43.75","11.39","33.53","3.42","0.79","0.33","16.13","72.65","5.14","52.56","0.2","33.33","0.03","0.13","0.2","1.78","48.15","1.05","56.25","0.59","1.84","64.29"
"J. Lawlor","League Two 20-21.","Harrogate Town","RCB","34","0","","17","1360","0","0.66","2","0.2","England","right","193","9.79","5.43","70.73","6.35","58.33","0.66","7.72","0.2","0","0.04","0","0.4","33.33","0","0","0","0.13","50","0.66","20","0.79","0","0","28.52","77.49","14.82","69.2","5.16","55.13","0.01","0.07","0.07","4.5","45.59","0.26","25","0.2","6.88","62.5"
"J. Turner","League Two 20-21.","Morecambe","GK","26","175000","","14","1360","0","0","0","0","England","right","194","0.93","0.13","100","0.4","100","0","0.99","0.13","0","0","0","0","0","0","0","0","0.13","100","0.2","100","0","0","0","13.96","70.14","12.24","66.49","11.05","62.87","0","0","0","5.63","57.65","0.07","0","0","7.81","87.29"
